level,benchmark,baseline_metric,final_metric,metric_unit,speedup,correctness,result_type,status,notes,source
P1,allreduce-cuda,141747.000000,121825.000000,us/iter at largest size,1.1635,PASS all sizes,KERNEL_OPT/ENV_FIX,valid,"P1 replaced measured allreduce path with NCCL; strong speedup on many sizes, largest-size speedup modest.",p1/allreduce-cuda/result/summary.md
P1,moe-align-cuda,n/a,15.948151,us mean latency,n/a,PASS 30/30,PARAM_TUNE,valid_no_baseline,"Summary reports final mean but no measured baseline, so speedup cannot be audited.",p1/moe-align-cuda/result/summary.md
P1,moe-cuda,531.303436,486.238289,us arithmetic mean over topk 1/2/4/8,1.0927,PASS 4/4,KERNEL_OPT,valid,Fused softmax+topk; P1 summary lacks variance/profiler but reports baseline and final.,p1/moe-cuda/result/summary.md
P1,p2p-cuda,n/a,5.825000,GB/s average over reported directed pairs,n/a,PASS reported,MEASURE_FIX,weak_auditability,"No summary.md; final file reports only 2 GPUs/2 directions, not the full 4-GPU topology matrix.",p1/p2p-cuda/result/p2p_cuda_result_948439.txt
P1,pingpong-cuda,22.899000,45.776000,GB/s NCCL at 1GiB,1.9990,no correctness errors printed,KERNEL_OPT/MEASURE_FIX,valid_with_caution,NCCL grouping doubles reported 1GiB bandwidth; P1 lacks CSV/variance and has earlier invalid attempts.,p1/pingpong-cuda/result/summary.md
P1,softmax-cuda,1.451723,1.405330,ms avg latency for slice=784 impl=1,1.0330,PASS reported,KERNEL_OPT,valid_with_caution,"Raw logs show slice=784 impl=1 improved, but P1 has no structured summary, rejected-attempt table, or variance.",p1/softmax-cuda/result/softmax_cuda_result_948546.txt
P1,topk-cuda,3706.788705,1238.256029,us mean over reported hidden_size/topk cases,2.9936,PASS reported,KERNEL_OPT,valid_with_caution,"Raw outputs report PASS and lower mean than first run, but P1 lacks accepted/rejected rationale and variance.",p1/topk-cuda/result/topk_cuda_result_948618.txt
P1,prefetch-cuda,n/a,0.512447,ms mean with_prefetch raw samples,n/a,PASS reported,MEASURE_FIX/PARAM_TUNE,valid_no_baseline,Only one P1 result file was available; final timing can be summarized but speedup cannot be audited against measured baseline.,p1/prefetch-cuda/result/prefetch_cuda_result_948600.txt
P1,simpleMultiDevice-cuda,measurement scope changed,60.863901,us total_us raw final,n/a,PASS reported,MEASURE_FIX/KERNEL_OPT,success_no_speedup_claim,"Raw P1 logs show a dramatic total_us drop, but H2D/D2H timing scope appears changed; no speedup claim is counted.",p1/simpleMultiDevice-cuda/result/simpleMultiDevice_cuda_result_948646.txt
P1,shmembench-cuda,6.551755,6.373006,ms avg kernel time,1.0280,PASS/no checksum failed in final,KERNEL_OPT,valid_with_caution,Best valid raw run improved modestly; one faster P1 attempt had checksum failure and is excluded.,p1/shmembench-cuda/result/shmembench_cuda_result_948670.txt
P2,allreduce-cuda,1.000000,0.366569,geomean relative latency,2.7280,PASS 12/12,KERNEL_OPT,valid,Geomean speedup 2.728x; largest buffer is measurement-equivalent/slightly slower (120294 -> 120423 us).,p2/allreduce-cuda/result/agent_summary.md
P2,moe-align-cuda,19.504113,15.939143,us mean latency,1.2237,PASS 30/30,PARAM_TUNE,valid,Cached cumsum workspace; rejected slower variants documented.,p2/moe-align-cuda/result/agent_summary.md
P2,moe-cuda,530.250191,512.859005,us arithmetic mean over topk 1/2/4/8,1.0339,PASS 4/4 final; invalid attempts rejected,KERNEL_OPT,valid,Hybrid path gives real topk=1 gain but mean speedup only 3.39%.,p2/moe-cuda/result/agent_summary.md
P2,p2p-cuda,36.170000,36.245000,GB/s average,1.0021,PASS 12/12 final,MEASURE_FIX,measurement_equivalent,Directional sweep improves auditability; speedup below 1%.,p2/p2p-cuda/result/agent_summary.md
P2,pingpong-cuda,22.899285,22.899518,GB/s NCCL at 1GiB,1.0000,PASS full sweep,PARAM_TUNE/MEASURE_FIX,measurement_equivalent,Five optimizations tried; final improvement is noise-level but invalid setup attempts are clearly rejected.,p2/pingpong-cuda/result/agent_summary.md
P2,softmax-cuda,1.449279,0.774845,ms slice=784 implementation 1,1.8704,PASS impl 0/1,KERNEL_OPT,valid,Manual warp reductions plus slice=784 specialization produce a clear implementation-1 speedup; slower attempts are documented.,p2/softmax-cuda/result/agent_summary.md
P2,topk-cuda,3718.191855,3100.858841,us mean over 14 hidden_size/topk cases,1.1991,PASS 14/14,KERNEL_OPT,valid,Cached radix workspace removes timed cudaMalloc/cudaFree overhead; rejected block-size variants are recorded.,p2/topk-cuda/result/agent_summary.md
P2,prefetch-cuda,1.682481,1.036367,ms repeat=100 with_prefetch,1.6234,PASS all trials,PARAM_TUNE/MEASURE_FIX,valid,Separates prefetch setup from timed kernel execution; primary repeat=100 with_prefetch improves while no-prefetch also improves.,p2/prefetch-cuda/result/agent_summary.md
